aa,aa,aaa 0.974
nee,needed,needs 0.999
neg,nega,negative 0.999
neg,negative,negatives 0.997
negoty,negotiate,negotiations 0.996
negoty,negotiating,negotiation 0.990
negoty,negotiating,negotiations 0.996
neighb,neighborhood,neighborhoods 0.983
neighb,neighborhood,neighboring 0.997
neighb,neighborhood,neighbors 0.997
neighb,neighborhoods,neighboring 0.996
neighb,neighborhoods,neighbors 0.995
neighbo,neighbourhood,neighbourhoods 0.989
neighbo,neighbouring,neighbours 0.996
neil,neil,neils 0.996
nelson,nelson,nelsons 0.979
nematod,nematoda,nematode 0.833
nematod,nematode,nematodes 0.900
neo,neo,neos 0.984
neoclass,neoclassicism,neoclassicist 0.833
neoconserv,neoconservatism,neoconservative 0.900
neoconserv,neoconservatism,neoconservatives 0.875
neomediev,neomedieval,neomedievalism 0.750
neomediev,neomedievalism,neomedievalisms 0.750
neon,neonatal,neonate 0.875
nep,nepa,nepal 0.994
nep,nepal,nepals 0.994
nephrid,nephridia,nephridium 0.500
nephrit,nephritic,nephritis 0.667
nephro,nephro,nephros 0.500
neptun,neptune,neptunians 0.943
ner,neri,nering 0.967
nerv,nerve,nerves 0.993
nerv,nerve,nervous 0.993
nerv,nerves,nervous 0.995
nesselwang,nesselwang,nesselwangs 0.500
nest,nest,nested 0.995
nest,nest,nesting 0.995
nest,nest,nests 0.980
net,net,nets 0.999
net,net,netted 0.999
net,net,netting 0.999
netherland,netherlandish,netherlands 0.993
netlabel,netlabel,netlabels 0.500
network,network,networking 0.994
network,network,networks 0.965
network,networking,networks 0.994
neurolog,neurological,neurology 0.975
neurolog,neurologist,neurology 0.986
neuron,neuron,neurons 0.949
neuron,neuronal,neurons 0.974
neuropathy,neuropathies,neuropathy 0.875
neuropeptid,neuropeptide,neuropeptides 0.667
neurosurg,neurosurg,neurosurgical 0.667
neut,neutralization,neutralize 0.944
neutron,neutron,neutrons 0.955
neutron,neutronium,neutrons 0.929
nev,never,nevis 1.000
nevil,neville,nevilles 0.970
new,new,newer 1.000
new,new,newly 0.996
new,new,news 0.985
new,newly,news 0.999
newburgh,newburgh,newburghians 0.900
newburgh,newburgh,newburghs 0.900
newfoundland,newfoundland,newfoundlands 0.931
newscast,newscast,newscasts 0.906
newsgroup,newsgroup,newsgroups 0.833
newslet,newsletter,newsletters 0.914
newspap,newspaper,newspapers 0.924
newton,newton,newtons 0.994
nezar,nezarr,nezarrs 0.500
nibley,nibley,nibleys 0.667
nicaragu,nicaragua,nicaraguan 0.935
nich,niche,niches 0.976
nick,nick,nicks 0.998
nicknam,nickname,nicknamed 0.993
nicknam,nickname,nicknames 0.994
nicknam,nickname,nicknaming 0.997
nicknam,nicknames,nicknaming 0.963
nicktoon,nicktoon,nicktoons 0.750
nicky,nicky,nickys 0.979
nicola,nicolas,nicolaus 0.993
niedermay,niedermayer,niedermayers 0.500
nifelheim,nifelheim,nifelheims 0.500
nig,nigerian,nigerians 0.983
nigel,nigel,nigels 0.983
nigery,nigerien,nigeriens 0.667
night,night,nightly 0.999
night,night,nights 0.994
nightclub,nightclub,nightclubs 0.929
nightm,nightmares,nightmarish 0.952
nikon,nikon,nikonian 0.833
nin,nine,ninety 1.000
nin,nine,ninian 1.000
nin,nine,ninth 0.999
nin,ninian,ninth 0.999
nippon,nippon,nipponia 0.917
nit,nit,nitrate 0.992
nit,nit,nitt 0.988
nit,nitrate,nitt 0.983
nit,nitre,nitric 0.972
nitollano,nitollano,nitollanos 0.500
nitram,nitram,nitrams 0.500
nitril,nitrile,nitrilium 0.667
niv,niven,nivens 0.984
nixon,nixon,nixons 0.970
noah,noah,noahs 0.920
nobl,nobile,nobiles 0.952
nobl,nobilis,noble 0.998
nobl,nobility,noble 0.986
nobl,nobility,nobles 0.997
nociceiv,nociception,nociceptors 0.500
nod,nod,nodding 0.989
nod,node,nodes 0.996
noga,nogai,nogais 0.500
nois,noise,noises 0.978
nomad,nomadic,nomads 0.979
nomin,nomina,nomine 0.983
nomin,nominate,nominee 0.996
nomin,nominated,nomination 0.996
nomin,nominated,nominations 0.992
nomin,nominated,nominee 0.998
nomin,nominated,nomineee 0.999
nomin,nominating,nomination 0.998
nomin,nominations,nominee 0.995
nomin,nominations,nominees 0.998
nomo,nomo,nomos 0.500
non,non,none 0.999
nonconform,nonconformism,nonconformity 0.833
nonconform,nonconformists,nonconformity 0.889
nonwov,nonwoven,nonwovens 0.500
nook,nookat,nooken 0.500
nor,nor,north 1.000
nor,nora,north 1.000
nor,norris,north 1.000
norm,norm,normal 1.000
norm,norm,norman 0.999
norm,norm,normans 0.998
norm,norm,norms 0.998
norm,norman,normans 0.998
normand,normand,normands 0.750
norn,norna,norns 0.500
northward,northward,northwards 0.950
norway,norway,norways 0.982
norweg,norwegian,norwegians 0.984
nostromo,nostromo,nostromos 0.667
not,not,notability 0.999
not,not,notable 0.999
not,not,notably 0.999
not,not,notation 1.000
not,not,note 0.999
not,not,noted 0.999
not,not,notes 0.999
not,not,notice 1.000
not,not,noticeable 1.000
not,not,noticeably 1.000
not,not,noticed 1.000
not,not,notices 1.000
not,not,noticing 1.000
not,not,notification 1.000
not,not,notified 1.000
not,not,notify 1.000
not,not,noting 1.000
not,not,notion 1.000
not,not,notiones 1.000
not,not,notions 1.000
not,not,notoriety 1.000
not,not,notorious 1.000
not,not,notoriously 1.000
not,not,notre 1.000
not,not,nots 1.000
not,notability,notably 1.000
not,notability,notes 1.000
not,notable,notables 1.000
not,notable,notably 1.000
not,notable,note 1.000
not,notable,noted 1.000
not,notable,notes 1.000
not,notable,notice 1.000
not,notable,noticed 1.000
not,notable,notices 1.000
not,notable,noting 1.000
not,notable,notoriety 1.000
not,notably,note 1.000
not,notably,noted 1.000
not,notably,notes 1.000
not,notably,notoriously 1.000
not,notation,notational 0.998
not,notation,note 1.000
not,notation,notes 1.000
not,note,noted 1.000
not,note,notes 0.999
not,note,notice 1.000
not,note,noticeable 1.000
not,note,notion 1.000
not,note,notions 1.000
not,noted,notes 1.000
not,noted,notorious 1.000
not,notes,notice 1.000
not,notes,noticeable 1.000
not,notes,notion 1.000
not,notes,notorious 1.000
not,notes,notre 1.000
not,noticed,noticing 0.999
not,noticed,noting 0.999
not,notification,notified 0.998
not,notified,notify 0.998
not,notion,notions 0.999
noun,noun,nouns 0.917
nouvel,nouvel,nouvelle 0.955
nov,nova,novi 0.997
novak,novak,novaks 0.938
novel,novel,novela 1.000
novel,novel,novelist 0.997
novel,novel,novelization 0.999
novel,novel,novels 0.987
novel,novelisation,novels 0.999
novel,novelist,novelists 0.999
novel,novelist,novelization 0.998
novel,novelist,novels 0.998
novel,novelizations,novels 0.999
novel,novellizations,novels 0.999
noy,noyales,noyant 0.944
nucle,nuclei,nucleus 0.935
nucleol,nucleolar,nucleolus 0.875
nucleon,nucleon,nucleons 0.500
nucleotid,nucleotide,nucleotides 0.933
nud,nude,nudity 0.967
nug,nugent,nugents 0.917
num,numeral,numerals 0.987
num,numeral,numerical 0.997
num,numerals,numerical 0.997
num,numeric,numerical 0.996
num,numerical,numerically 0.996
numair,numair,numairs 0.500
numb,number,numbered 0.999
numb,number,numbering 1.000
numb,number,numbers 0.995
numb,numbered,numbers 0.997
numb,numbering,numbers 0.997
nurs,nurse,nursed 0.987
nurs,nurse,nurses 0.992
nurs,nurse,nursing 0.987
nurs,nurses,nursing 0.972
nursery,nurseries,nursery 0.947
nut,nut,nuts 0.992
nutrit,nutritional,nutritionally 0.958
nyx,nyx,nyxs 0.500
oak,oak,oaks 0.989
oakland,oakland,oaklands 0.980
obitu,obituaries,obituary 0.970
object,object,objective 0.999
object,object,objects 0.992
object,objective,objectives 0.999
object,objective,objectivity 0.998
object,objective,objects 0.999
oblig,obligated,obliged 0.992
oblig,obligates,obligating 0.944
oblig,obligates,obligation 0.992
oblig,obligates,obligations 0.991
oblig,obligating,obligation 0.992
oblig,obligating,obligations 0.991
oblig,obligation,obligations 0.996
oblig,obligation,obliged 0.995
oblig,obligation,obliging 0.992
obo,oboe,oboist 0.875
obolensk,obolensk,obolenski 0.500
observ,observability,observable 0.991
observ,observability,observer 0.999
observ,observation,observations 0.999
observ,observation,observe 0.998
observ,observation,observed 0.999
observ,observation,observer 0.999
observ,observation,observers 0.999
observ,observation,observes 0.999
observ,observation,observing 0.999
observ,observations,observed 0.999
observ,observations,observers 0.999
observ,observations,observing 0.999
observ,observatories,observatory 0.995
observ,observatories,observing 0.996
observ,observatory,observe 0.999
observ,observatory,observed 0.998
observ,observatory,observers 0.999
observ,observatory,observing 0.998
observ,observe,observed 0.999
observ,observe,observer 0.999
observ,observe,observers 0.998
observ,observed,observer 0.999
observ,observed,observers 0.998
observ,observed,observing 0.999
obstac,obstacle,obstacles 0.933
obstet,obstet,obstetric 0.889
obstet,obstet,obstetrics 0.958
obstet,obstetric,obstetrics 0.963
obstruct,obstruction,obstructive 0.963
obtain,obtain,obtained 0.995
obtain,obtain,obtaining 0.997
obtain,obtain,obtains 0.992
oc,ocean,oceanic 0.998
oc,ocean,oceans 0.998
occ,occur,occurs 0.988
occas,occasion,occasional 0.998
occas,occasion,occasions 0.994
occas,occasional,occasions 0.998
occas,occasionally,occasions 0.998
occid,occidental,occidentals 0.958
occup,occupation,occupations 0.999
occupy,occupied,occupying 0.998
occupy,occupier,occupiers 0.960
occur,occurred,occurrence 0.994
occur,occurred,occurrences 0.997
occur,occurred,occurring 0.995
occur,occurrence,occurrences 0.987
occur,occurrences,occurring 0.992
oconnel,oconnell,oconnells 0.917
octav,octave,octaves 0.875
od,odi,odis 0.990
odl,odle,odles 0.500
oesel,oesel,oeselians 0.750
oesel,oeselian,oeselians 0.750
of,of,ofen 1.000
of,of,ofer 1.000
of,of,ofi 1.000
of,of,oficial 0.999
off,off,offence 1.000
off,off,offer 1.000
off,off,offered 1.000
off,off,offering 1.000
off,off,offers 1.000
off,off,office 0.999
off,off,officer 0.999
off,off,officers 1.000
off,off,offices 1.000
off,off,official 1.000
off,off,officially 1.000
off,off,officials 1.000
off,off,offs 1.000
off,offal,office 1.000
off,offence,offences 0.995
off,offence,officials 1.000
off,offences,officers 1.000
off,offer,offered 0.999
off,offer,offering 0.999
off,offer,offers 0.999
off,offer,office 1.000
off,offer,official 1.000
off,offer,officials 1.000
off,offer,offs 1.000
off,offered,offering 0.999
off,offered,offerings 1.000
off,offered,offers 0.999
off,offered,office 1.000
off,offered,offices 1.000
off,offered,official 1.000
off,offered,officially 1.000
off,offered,officials 1.000
off,offerers,offers 1.000
off,offering,offers 0.999
off,offering,office 1.000
off,offering,official 1.000
off,offering,officials 1.000
off,offers,office 1.000
off,offers,officer 1.000
off,offers,officers 1.000
off,offers,official 1.000
off,offers,officially 1.000
off,offers,officials 1.000
off,offical,official 1.000
off,office,officer 0.999
off,office,officers 0.999
off,office,offices 0.998
off,office,official 0.999
off,office,officially 1.000
off,office,officials 0.999
off,officer,officers 0.997
off,officer,officership 1.000
off,officer,offices 0.999
off,officer,official 1.000
off,officer,officially 1.000
off,officers,offices 0.999
off,officers,official 1.000
off,officers,officially 1.000
off,officers,officials 0.999
off,offices,official 1.000
off,offices,officially 1.000
off,offices,officials 1.000
off,official,officially 0.999
off,official,officials 1.000
offend,offended,offender 0.992
offend,offender,offenders 0.977
offend,offenders,offending 0.989
offend,offensive,offensives 0.995
offspr,offspring,offsprings 0.917
ogr,ogre,ogres 0.933
ohio,ohio,ohios 0.992
oil,oil,oilers 0.997
oil,oil,oils 0.993
oil,oiler,oilers 0.974
ojo,ojo,ojos 0.667
ok,oki,okis 0.952
okinaw,okinawa,okinawan 0.941
ol,oleary,oliver 0.999
ol,oliver,olivers 0.999
olav,olave,olaves 0.889
old,old,olden 1.000
old,old,older 0.995
old,old,olds 1.000
oldm,oldman,oldmans 0.833
oliph,oliphant,oliphants 0.800
olmec,olmec,olmecs 0.500
olmst,olmsted,olmsteds 0.667
olt,oltion,oltions 0.917
olymp,olympian,olympic 0.999
olymp,olympian,olympics 0.999
olymp,olympians,olympic 0.999
olymp,olympians,olympics 0.999
olymp,olympic,olympics 0.956
olymp,olympic,olympique 0.999
olymp,olympics,olympique 0.999
olympiad,olympiad,olympiade 0.944
olympiad,olympiad,olympiads 0.955
om,om,oma 0.994
omayyad,omayyad,omayyads 0.667
omit,omissions,omitted 0.990
omn,omni,omnium 0.991
omoshiro,omoshiro,omoshiroi 0.500
on,on,ona 1.000
on,on,onan 1.000
on,on,one 0.975
on,on,oneal 1.000
on,on,oneder 1.000
on,on,onerous 1.000
on,on,ones 0.998
on,on,oni 1.000
on,on,onion 1.000
on,on,onions 1.000
on,on,onium 1.000
on,on,only 0.982
on,on,ons 1.000
on,ona,one 1.000
on,one,ones 0.998
on,one,onion 1.000
on,one,onions 1.000
on,one,onium 1.000
on,one,only 0.990
on,one,ons 1.000
on,oner,only 1.000
on,ones,only 0.999
oneil,oneil,oneils 0.944
ono,ono,onos 0.917
ontario,ontario,ontarios 0.983
onyx,onyx,onyxs 0.750
op,op,opal 0.999
op,op,operations 1.000
op,op,operative 0.999
op,op,opus 1.000
op,open,opened 0.999
op,open,opening 0.999
op,open,openly 1.000
op,open,opens 1.000
op,open,operate 1.000
op,open,operated 1.000
op,open,operates 1.000
op,open,operating 1.000
op,open,operation 1.000
op,open,operations 1.000
op,open,ops 1.000
op,opened,opener 1.000
op,opened,opening 0.999
op,opened,opens 1.000
op,opened,operate 1.000
op,opened,operated 0.999
op,opened,operates 1.000
op,opened,operating 1.000
op,opened,operation 1.000
op,opened,operational 1.000
op,opened,operationally 1.000
op,opened,operations 0.999
op,opened,operator 1.000
op,opened,operators 1.000
op,opener,openers 0.997
op,opener,opening 1.000
op,opening,openings 1.000
op,opening,openly 1.000
op,opening,opens 1.000
op,opening,operated 1.000
op,opening,operates 1.000
op,opening,operating 1.000
op,opening,operation 1.000
op,opening,operational 1.000
op,opening,operations 1.000
op,openness,operates 1.000
op,opens,operations 1.000
op,operate,operated 0.999
op,operate,operates 1.000
op,operate,operating 1.000
op,operate,operation 0.999
op,operate,operational 1.000
op,operate,operations 1.000
op,operate,operator 1.000
op,operate,operators 1.000
op,operated,operates 1.000
op,operated,operating 0.999
op,operated,operation 0.999
op,operated,operational 1.000
op,operated,operations 0.999
op,operated,operator 1.000
op,operated,operators 1.000
op,operates,operating 0.999
op,operates,operation 1.000
op,operates,operations 0.999
op,operates,operative 1.000
op,operates,operator 0.999
op,operates,operators 1.000
op,operating,operation 0.999
op,operating,operational 1.000
op,operating,operations 1.000
op,operating,operative 1.000
op,operating,operator 0.999
op,operating,operators 1.000
op,operation,operational 0.999
op,operation,operations 0.999
op,operation,operator 1.000
op,operation,operators 1.000
op,operational,operations 0.999
op,operational,operators 0.999
op,operations,operative 1.000
op,operations,operator 1.000
op,operations,operators 1.000
op,operations,ops 1.000
op,operative,operatives 0.999
op,operator,operators 0.999
op,opiate,opiates 0.995
opercul,opercularis,operculum 0.667
ophthalmolog,ophthalmologists,ophthalmology 0.900
opin,opines,opinion 0.998
opin,opinion,opinions 0.998
opin,opinionated,opinions 0.996
oppon,opponent,opponents 0.955
opportun,opportunities,opportunity 0.991
oppos,oppose,opposed 0.993
oppos,oppose,opposes 0.987
oppos,oppose,opposing 0.993
oppos,opposed,opposes 0.996
oppos,opposed,opposing 0.997
oppos,opposes,opposing 0.991
opposit,opposition,oppositionary 0.998
opposit,opposition,oppositions 0.998
oppress,oppressed,oppression 0.988
oppress,oppressed,oppressors 0.982
oppress,oppression,oppressors 0.982
opt,opt,optional 0.998
opt,optic,optical 0.999
opt,optical,optics 0.998
opt,optician,opticians 0.989
opt,option,optionality 0.999
opt,option,optioned 0.999
opt,option,options 0.999
opt,optionality,options 0.999
optim,optimised,optimized 0.993
or,or,oral 0.999
or,or,orally 1.000
or,or,orator 1.000
or,or,oratorical 1.000
or,or,ore 1.000
or,or,oren 1.000
or,or,orere 1.000
or,or,ores 1.000
or,or,oria 1.000
or,or,orion 1.000
or,or,oris 1.000
or,oral,orally 0.999
orac,oracle,oracles 0.921
oracul,oracularities,oracularity 0.500
orang,orange,oranges 0.998
orbit,orbit,orbital 0.990
orbit,orbit,orbitals 0.997
orbit,orbit,orbiter 0.997
orbit,orbit,orbits 0.994
orbit,orbital,orbiter 0.997
orbit,orbital,orbits 0.997
orc,orc,orcs 0.944
orchard,orchard,orchards 0.962
orchest,orchestral,orchestrations 0.993
ord,ordeal,order 1.000
ord,order,ordered 0.999
ord,order,ordering 1.000
ord,order,orderly 1.000
ord,order,orders 0.998
ord,ordered,orders 0.998
ordin,ordinance,ordinances 0.997
ordin,ordinances,ordinary 0.999
ordin,ordinances,ordination 0.996
ordin,ordinaries,ordinary 0.999
org,org,orga 1.000
org,org,organisation 1.000
org,org,organisations 1.000
org,org,organization 1.000
org,org,organizations 0.999
org,org,organize 1.000
org,org,organized 1.000
org,org,orgs 1.000
org,organ,organism 1.000
org,organ,organist 0.998
org,organ,organists 0.999
org,organ,organization 1.000
org,organ,organizations 1.000
org,organ,organs 0.998
org,organic,organics 0.999
org,organic,organised 1.000
org,organic,organism 0.999
org,organic,organized 1.000
org,organisation,organisational 1.000
org,organisation,organisations 0.997
org,organisation,organised 0.999
org,organisation,organises 1.000
org,organisation,organising 1.000
org,organisation,organization 1.000
org,organisation,organizational 1.000
org,organisation,organizations 1.000
org,organisation,organized 1.000
org,organisations,organised 1.000
org,organisations,organization 1.000
org,organisations,organizations 1.000
org,organising,organized 1.000
org,organism,organisms 0.998
org,organisms,organs 0.999
org,organist,organists 0.997
org,organization,organizational 1.000
org,organization,organizations 0.998
org,organization,organize 1.000
org,organization,organized 0.999
org,organization,organizers 1.000
org,organization,organizes 1.000
org,organization,organizing 1.000
org,organization,organs 1.000
org,organizational,organizations 1.000
org,organizational,organize 0.999
org,organizational,organizer 0.999
org,organizations,organized 0.999
org,organizations,organizers 1.000
org,organizations,organizing 1.000
org,organize,organized 1.000
org,organized,organizing 1.000
org,organizers,organizes 0.997
origin,origin,original 0.998
origin,origin,originally 1.000
origin,origin,originated 0.999
origin,origin,originating 1.000
origin,origin,origins 0.999
origin,original,originality 1.000
origin,original,originally 0.996
origin,original,originals 1.000
origin,original,originated 1.000
origin,original,originates 1.000
origin,original,originating 1.000
origin,original,origins 0.999
origin,originally,originate 1.000
origin,originally,originated 1.000
origin,originally,originates 1.000
origin,originally,origins 0.999
origin,originals,originated 0.999
origin,originals,originating 0.998
origin,originate,origins 0.999
origin,originated,originates 0.999
origin,originated,origins 0.999
oriol,oriole,orioles 0.971
oriol,oriole,oriolus 0.943
oriol,orioles,oriolus 0.982
orkney,orkney,orkneys 0.917
orl,orleanian,orleans 0.982
orlando,orlando,orlandos 0.975
ornitholog,ornithologist,ornithologists 0.917
ornitholog,ornithologist,ornithology 0.952
ornitholog,ornithologists,ornithology 0.952
orph,orphan,orphanage 0.989
orph,orphan,orphaned 0.997
orph,orphan,orphans 0.988
orph,orphanage,orphaned 0.997
ortelg,ortelga,ortelgan 0.750
ortelg,ortelga,ortelgans 0.750
orthodoxy,orthodoxy,orthodoxys 0.944
orthogon,orthogonal,orthogonalities 0.857
ory,orientability,orientation 0.998
ory,oriental,orientalis 0.998
ory,orientale,oriente 0.985
ory,orientales,oriente 0.989
ory,orientation,orientations 0.998
ory,orientation,oriented 0.998
os,os,ose 0.999
os,os,osor 0.999
os,ose,osee 0.970
os,ose,osor 0.970
osc,oscar,oscars 0.995
oscil,oscillator,oscillators 0.975
osil,osilia,osilians 0.500
osorno,osorno,osornos 0.750
osset,ossetes,ossetia 0.982
osset,ossetes,ossetian 0.917
osset,ossetes,ossetic 0.917
osset,ossetia,ossetian 0.983
osset,ossetia,ossetic 0.983
osset,ossetian,ossetians 0.917
osset,ossetian,ossetic 0.938
osset,ossetians,ossetic 0.917
ossolin,ossolin,ossolina 0.500
ossolinsk,ossolinska,ossolinski 0.750
ossolinsk,ossolinski,ossolinskis 0.750
ossu,ossuaries,ossuary 0.750
ossu,ossuary,ossuarys 0.750
oth,other,others 0.988
otsap,otsap,otsaps 0.500
ottom,ottoman,ottomans 0.938
ou,ou,oui 0.995
our,our,ours 0.999
out,out,outages 1.000
out,out,outer 1.000
out,out,outing 1.000
out,out,outlying 1.000
out,out,outraged 1.000
out,out,outrageous 1.000
out,out,outs 1.000
out,outage,outages 0.992
outbreak,outbreak,outbreaks 0.964
outdo,outdoor,outdoors 0.988
outfal,outfall,outfalls 0.667
outfield,outfield,outfielder 0.962
outfield,outfielder,outfielders 0.955
outl,outlived,outliving 0.750
outlaw,outlaw,outlaws 0.979
outlaw,outlawing,outlaws 0.963
outlet,outlet,outlets 0.933
outlin,outline,outlined 0.990
outlin,outlined,outlines 0.983
output,output,outputs 0.936
outsid,outside,outsiders 0.999
outtak,outtake,outtakes 0.875
ov,ova,ovaries 0.994
ov,ova,ovary 0.995
ov,ova,over 1.000
ov,ova,ovulation 0.994
ov,ova,ovum 0.994
ov,oval,over 1.000
ov,ovarian,ovary 0.993
ov,ovaries,ovary 0.990
ov,ovaries,ovarys 0.979
ov,ovaries,ovulation 0.979
ov,ovaries,ovum 0.979
ov,ovary,ovulation 0.990
ov,ovary,ovum 0.990
ov,ovarys,ovum 0.979
ov,ovens,over 1.000
ov,over,overs 1.000
ov,ovulation,ovum 0.979
overcom,overcome,overcomes 0.988
overnight,overnight,overnights 0.944
overround,overround,overrounds 0.500
oviduc,oviduct,oviducts 0.500
ow,owe,owes 0.993
ow,owed,owes 0.995
ow,owen,owens 0.999
owl,owl,owls 0.957
own,own,owned 0.999
own,own,owner 0.999
own,own,owners 0.999
own,own,ownership 0.999
own,own,owns 0.999
own,owned,owner 0.988
own,owned,owners 0.997
own,owned,ownership 0.997
own,owned,owns 0.994
own,owner,owners 0.995
own,owner,ownership 0.995
own,owner,owns 0.999
own,owners,ownership 0.992
own,owners,owns 0.997
own,ownership,owns 0.998
owston,owstoni,owstons 0.500
oxid,oxidation,oxidized 0.981
oxid,oxidation,oxidizers 0.976
oxid,oxidation,oxidizing 0.979
oxid,oxidized,oxidizers 0.958
oxidoreductas,oxidoreductase,oxidoreductases 0.500
oxyrhynch,oxyrhynchia,oxyrhynchus 0.500
oyr,oyr,oyrs 0.500
oystercatch,oystercatcher,oystercatchers 0.500
ozark,ozark,ozarks 0.889
pac,pace,pacers 0.999
pac,pace,paces 0.998
pac,pacific,pacifics 0.999
pac,pacifism,pacifist 0.993
pac,pacifism,pacifists 0.992
pac,pacifist,pacifists 0.996
pack,pack,package 0.999
pack,pack,packaged 0.998
pack,pack,packaging 0.998
pack,pack,packs 0.998
pack,package,packages 0.995
pack,packaged,packages 0.997
pack,packaged,packed 0.997
pack,packaging,packed 0.997
pack,packed,packing 0.997
pack,packer,packers 0.994
packet,packet,packets 0.750
pad,pad,pada 0.988
pad,pad,padded 0.988
padr,padre,padres 0.929
pag,pag,page 1.000
pag,pagan,page 1.000
pag,page,pageant 1.000
pag,page,pageants 1.000
pag,page,pages 0.988
pag,pageant,pageants 0.992
pahar,pahari,paharia 0.917
pain,pain,painful 0.988
painkil,painkiller,painkillers 0.800
paint,paint,painted 0.990
paint,paint,painter 0.996
paint,paint,painters 0.994
paint,paint,painting 0.991
paint,paint,paintings 0.993
paint,paint,paints 0.997
paint,painted,painter 0.993
paint,painted,painters 0.991
paint,painted,painting 0.993
paint,painted,paintings 0.997
paint,painted,paints 0.998
paint,painter,painters 0.970
paint,painter,painting 0.987
paint,painter,paintings 0.988
paint,painterly,painting 0.998
paint,painterly,paintings 0.997
paint,painterly,paints 0.982
paint,painters,painting 0.989
paint,painters,paintings 0.990
paint,painting,paintings 0.986
paint,painting,paints 0.996
paint,paintings,paints 0.997
pair,pair,paired 0.995
pair,pair,pairing 0.997
pair,pair,pairs 0.995
pair,pairing,pairings 0.977
paisley,paisley,paisleys 0.909
pak,pak,pakistan 0.998
pak,pakistan,pakistanis 0.997
pak,pakistan,pakistans 0.995
pal,pal,pals 0.997
pal,palatal,palate 0.990
pal,pale,paler 0.998
pal,pale,pall 0.998
palac,palace,palaces 0.983
palacio,palacio,palacios 0.889
palaeontolog,palaeontologist,palaeontology 0.833
palaiomoir,palaiomoiri,palaiomoirion 0.500
palatin,palatinate,palatinates 0.971
palatin,palatinate,palatine 0.914
palatin,palatinates,palatine 0.964
paleontolog,paleontologist,paleontologists 0.944
paleontolog,paleontologist,paleontology 0.980
paleontolog,paleontologists,paleontology 0.980
palestin,palestine,palestines 0.993
palestin,palestine,palestinian 0.964
palestin,palestine,palestinians 0.987
palestin,palestinian,palestinians 0.949
paley,paley,paleys 0.750
pallid,pallid,pallidus 0.875
palm,palm,palms 0.997
pamb,pamba,pambar 0.500
pan,pan,panis 0.998
pan,pan,pans 0.999
pan,pane,panic 0.997
pan,panic,panique 0.997
panam,panama,panamanian 0.993
pancak,pancake,pancakes 0.750
panchay,panchayat,panchayats 0.750
panel,panel,panelists 0.997
panel,panel,panellist 0.997
panel,panel,panels 0.990
pankov,pankov,pankovs 0.500
panoram,panorama,panoramic 0.962
panth,panther,panthers 0.984
panz,panzer,panzers 0.833
pap,papa,papacy 0.996
pap,papa,pape 0.994
pap,papacy,papal 0.996
pap,papacys,papal 0.997
pap,papal,paper 1.000
pap,paper,papers 0.999
papain,papain,papains 0.500
paperback,paperback,paperbacks 0.983
papert,papert,paperts 0.500
papu,papua,papuan 0.981
papyr,papyri,papyrus 0.778
par,par,pari 0.999
par,par,paris 1.000
par,par,parish 1.000
par,parent,parents 1.000
par,parental,parents 1.000
par,parents,paris 1.000
par,parents,parish 1.000
par,paris,parish 1.000
par,paris,parisian 1.000
par,paris,parisians 1.000
par,parish,parishes 0.998
par,parish,parishioners 1.000
par,parish,parishs 1.000
par,parishes,parishioners 0.999
parad,parade,paradise 0.997
paragraph,paragraph,paragraphs 0.917
paraguay,paraguay,paraguayan 0.961
parallel,parallel,parallels 0.997
parallelogram,parallelogram,parallelograms 0.500
paralys,paralysed,paralytic 0.967
paralys,paralysis,paralytic 0.983
paralys,paralyze,paralyzing 0.958
param,paramedic,paramedics 0.950
parapsycholog,parapsychologists,parapsychology 0.667
parareptil,parareptiles,parareptilia 0.500
parasit,parasite,parasites 0.963
parasit,parasite,parasitic 0.972
paratroop,paratroopers,paratroops 0.917
pardin,pardina,pardine 0.500
pardo,pardo,pardos 0.900
parenthes,parentheses,parenthesis 0.833
park,park,parka 1.000
park,park,parker 1.000
park,park,parkes 1.000
park,park,parking 0.998
park,park,parks 0.986
park,parked,parking 0.997
park,parker,parks 0.999
park,parking,parks 0.998
parkinson,parkinsonism,parkinsons 0.955
parkway,parkway,parkways 0.957
parlia,parliament,parliamentary 0.947
parlia,parliament,parliaments 0.985
parlia,parliamentary,parliaments 0.987
parlophon,parlophon,parlophone 0.750
parody,parodies,parody 0.992
parol,parole,paroled 0.900
parrot,parrot,parrots 0.958
parry,parry,parrys 0.952
part,part,parted 1.000
part,part,partial 1.000
part,part,partially 0.999
part,part,partly 1.000
part,part,parts 0.998
part,parted,partly 0.999
part,partia,partial 0.999
part,partial,partialis 0.999
part,partial,parts 1.000
part,partially,partly 0.999
part,partially,parts 1.000
part,partisan,partisans 0.998
part,partisan,partisanship 0.997
part,partly,parts 1.000
partic,particle,particles 0.967
particip,participants,participate 0.998
particip,participants,participated 0.999
particip,participants,participation 0.999
particip,participate,participated 0.999
particip,participate,participates 0.999
particip,participate,participating 0.999
particip,participate,participation 0.997
particip,participated,participates 0.999
particip,participated,participating 0.999
particip,participated,participation 0.999
particip,participating,participation 0.998
particul,particular,particularly 0.996
partit,partition,partitioned 0.987
partn,partner,partners 0.992
partn,partner,partnership 0.996
partn,partner,partnerships 0.994
partn,partnered,partnerships 0.984
partn,partnering,partners 0.996
partn,partnering,partnerships 0.989
partn,partners,partnership 0.990
